X,X,C,C,C,W,W,B,X,B,X,B,X,B,X,B,X,B,W,W,N,N,N,N,N
X,CT,C*,C,C,W,W,B,B,B,B,B,B,B,B,B,B,B,W,W,N,N#,N,N,NA
C,C,C,C,C,W,W,B,B,B,B,B,B#,B,B,B,B,B,W,W,N,N,N*,N,N
C#,C,C,C,C,W<,W,B,B,B,B,B,B*,B,B,B,B,B,W<,W,N,N,N,N,N
W,W,W,W,W,W,W,W,B,B,B,B,B,B,B,B,B,W,W,W,W,W,W,W,N
H,Wv,W,W,W,W,W,W,B,B,B,B,B,B,B,B,B,W,W,W,W,W,W,W>,N
H,H,H,H,H,H,W,W,W,W,W,W^,B,W^,W,W,W,W,W,W,W,W,W,W,W
H,H,H,H,H,H,W,W,W,W,W,W,B,W,W,W,W,W,D,D,D,D,D,D,D
H,H,H,H,H,H,H,W,W,W,W,W,B,W,W,W,W,W,D,D,D,D,D,D,D
H,H,H,H,H,H,H,W,W,W,W,W,B,W,W,W,W,W,D,D,D,D,D,D,D
H,H#,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W>,D,D,D,D,D,D,D
H,H,H*,H,H,H,H,W<,W,W,W,W,W,W,W,W,D,D,D,D,X,X,X,X,X
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,D,D,D,D,X,X,X,X,X
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,D,D,D,D,X,X,X,X,X
H,H,H,H,H,H,W,W,W,W,X,X,X,X,X,W,D,D,D,D,D,D,D,D,D
H,H,H,H,H,H,W,W,W,W,X,X,X,X,X,W,D,D,D,D#,D,D,D,D,D
H,W,W,W,W,W,W,W,W,W,X,X,X,X,X,W,D,D,D,D,D*,D,D,D,D
W,W,W,Wv,W,W,W,W,W,W,X,X,X,X,X,W,D,D,D,D,D,D,D,D,D
W,W,W,A,W,W,W,W,W,W,X,X,X,X,X,W,D,D,D,D,X,X,X,X,X
W,A,A,A,A,A,A,A,A,W,X,X,X,X,X,W,D,D,D,D,X,X,X,X,X
W,AN,A,A#,A*,A,A,A,A,W,X,X,X,X,X,W,D,D,D,D,X,X,X,X,X
W,W,W,A,W,W,W,W,W,W,W,W,W,W,W,W,W,W>,D,D,D,D,D,D,D
W,W,W,W^,W,W,W,W,W,W,W,W,W,W,W,W,W,W,D,D,D,D,D,D,D
W,W,W,W,W,W,W,W,M,W,W,Wv,W,W,M,W,W,W,D,D,D,D,D,D,D
Wv,W,W,W,W,W,W,W,M,W,M,M,M,W,M,W,W,W,D,D,D,D,D,D,D
E,E,E,E,E,E,W,W,M,M,M,M,M,M,M,W,W,W,W,W,W,W,W,W,W^
E,E,E,E,E,E,W,W,M,M#,M,M*,M,M,M,W,W,W,W,W,W,Wv,W,W,W
E,E#,E,E,E,E,W,W,M,W,M,M,M,W,M,W,W,W,W,W,T,T,T,T,T
E,E,E,E,E,E,W,W,M,W,W,W,W,W,M,W,W,W,W,W,T,T,T,T,T
X,E,E,E,E,E,W,W,W,W,W,Wv,W,W,W,W,E,E,W<,W,T#,T,T*,T,T
X,X,E,E,E,E,E,E,E,E*,E,E,E,E,E,E,E,E,W,W,T,T,T,T,T
X,X,X,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W>,T,T,T,T,TC